id;kecamatan_id;nama;kodepos;;
116;13;sirnagalih;42394;;['id'=>'116','kecamatan_id'=>'13','nama'=>'sirnagalih','kodepos'=>'42394'],
117;13;situmulya;42394;;['id'=>'117','kecamatan_id'=>'13','nama'=>'situmulya','kodepos'=>'42394'],
118;13;sukamulya;42394;;['id'=>'118','kecamatan_id'=>'13','nama'=>'sukamulya','kodepos'=>'42394'],
119;13;wanasari;42394;;['id'=>'119','kecamatan_id'=>'13','nama'=>'wanasari','kodepos'=>'42394'],
120;13;warungbanten;42394;;['id'=>'120','kecamatan_id'=>'13','nama'=>'warungbanten','kodepos'=>'42394'],
121;14;cibungur;42395;;['id'=>'121','kecamatan_id'=>'14','nama'=>'cibungur','kodepos'=>'42395'],
122;14;cigemblong;42395;;['id'=>'122','kecamatan_id'=>'14','nama'=>'cigemblong','kodepos'=>'42395'],
123;14;cikadongdong;42395;;['id'=>'123','kecamatan_id'=>'14','nama'=>'cikadongdong','kodepos'=>'42395'],
124;14;cikaret;42395;;['id'=>'124','kecamatan_id'=>'14','nama'=>'cikaret','kodepos'=>'42395'],
125;14;cikate;42395;;['id'=>'125','kecamatan_id'=>'14','nama'=>'cikate','kodepos'=>'42395'],
126;14;mugijaya;42395;;['id'=>'126','kecamatan_id'=>'14','nama'=>'mugijaya','kodepos'=>'42395'],
127;14;peucangpari;42395;;['id'=>'127','kecamatan_id'=>'14','nama'=>'peucangpari','kodepos'=>'42395'],
128;14;wangunjaya;42395;;['id'=>'128','kecamatan_id'=>'14','nama'=>'wangunjaya','kodepos'=>'42395'],
129;15;barunai;42392;;['id'=>'129','kecamatan_id'=>'15','nama'=>'barunai','kodepos'=>'42392'],
130;15;cihara;42392;;['id'=>'130','kecamatan_id'=>'15','nama'=>'cihara','kodepos'=>'42392'],
131;15;ciparahu;42392;;['id'=>'131','kecamatan_id'=>'15','nama'=>'ciparahu','kodepos'=>'42392'],
132;15;citeupuseun;42392;;['id'=>'132','kecamatan_id'=>'15','nama'=>'citeupuseun','kodepos'=>'42392'],
133;15;karangkamulyan;42392;;['id'=>'133','kecamatan_id'=>'15','nama'=>'karangkamulyan','kodepos'=>'42392'],
134;15;lebak peundeuy;42392;;['id'=>'134','kecamatan_id'=>'15','nama'=>'lebak peundeuy','kodepos'=>'42392'],
135;15;mekarsari;42392;;['id'=>'135','kecamatan_id'=>'15','nama'=>'mekarsari','kodepos'=>'42392'],
136;15;panyaungan;42392;;['id'=>'136','kecamatan_id'=>'15','nama'=>'panyaungan','kodepos'=>'42392'],
137;15;pondokpanjang;42392;;['id'=>'137','kecamatan_id'=>'15','nama'=>'pondokpanjang','kodepos'=>'42392'],
138;16;ciapus;42397;;['id'=>'138','kecamatan_id'=>'16','nama'=>'ciapus','kodepos'=>'42397'],
139;16;cibeureum;42397;;['id'=>'139','kecamatan_id'=>'16','nama'=>'cibeureum','kodepos'=>'42397'],
140;16;cihujan;42397;;['id'=>'140','kecamatan_id'=>'16','nama'=>'cihujan','kodepos'=>'42397'],
141;16;cijaku;42397;;['id'=>'141','kecamatan_id'=>'16','nama'=>'cijaku','kodepos'=>'42397'],
142;16;cikaratuan;42397;;['id'=>'142','kecamatan_id'=>'16','nama'=>'cikaratuan','kodepos'=>'42397'],
143;16;cimenga (cimega);42397;;['id'=>'143','kecamatan_id'=>'16','nama'=>'cimenga (cimega)','kodepos'=>'42397'],
144;16;cipalabuh;42397;;['id'=>'144','kecamatan_id'=>'16','nama'=>'cipalabuh','kodepos'=>'42397'],
145;16;kandangsapi;42397;;['id'=>'145','kecamatan_id'=>'16','nama'=>'kandangsapi','kodepos'=>'42397'],
146;16;kapunduhan;42397;;['id'=>'146','kecamatan_id'=>'16','nama'=>'kapunduhan','kodepos'=>'42397'],
147;16;mekarjaya;42397;;['id'=>'147','kecamatan_id'=>'16','nama'=>'mekarjaya','kodepos'=>'42397'],
148;16;sukasenang;42397;;['id'=>'148','kecamatan_id'=>'16','nama'=>'sukasenang','kodepos'=>'42397'],
149;17;anggalan;42356;;['id'=>'149','kecamatan_id'=>'17','nama'=>'anggalan','kodepos'=>'42356'],
150;17;cigoong selatan;42356;;['id'=>'150','kecamatan_id'=>'17','nama'=>'cigoong selatan','kodepos'=>'42356'],
151;17;cigoong utara;42356;;['id'=>'151','kecamatan_id'=>'17','nama'=>'cigoong utara','kodepos'=>'42356'],
152;17;cikulur;42356;;['id'=>'152','kecamatan_id'=>'17','nama'=>'cikulur','kodepos'=>'42356'],
153;17;curugpanjang;42356;;['id'=>'153','kecamatan_id'=>'17','nama'=>'curugpanjang','kodepos'=>'42356'],
154;17;muaradua;42356;;['id'=>'154','kecamatan_id'=>'17','nama'=>'muaradua','kodepos'=>'42356'],
155;17;muncangkopong;42356;;['id'=>'155','kecamatan_id'=>'17','nama'=>'muncangkopong','kodepos'=>'42356'],
156;17;parage;42356;;['id'=>'156','kecamatan_id'=>'17','nama'=>'parage','kodepos'=>'42356'],
157;17;pasirgintung;42356;;['id'=>'157','kecamatan_id'=>'17','nama'=>'pasirgintung','kodepos'=>'42356'],
158;17;sukadaya;42356;;['id'=>'158','kecamatan_id'=>'17','nama'=>'sukadaya','kodepos'=>'42356'],
159;17;sukaharja;42356;;['id'=>'159','kecamatan_id'=>'17','nama'=>'sukaharja','kodepos'=>'42356'],
160;17;sumurbandung;42356;;['id'=>'160','kecamatan_id'=>'17','nama'=>'sumurbandung','kodepos'=>'42356'],
161;17;taman jaya;42356;;['id'=>'161','kecamatan_id'=>'17','nama'=>'taman jaya','kodepos'=>'42356'],
162;18;banjarsari;42353;;['id'=>'162','kecamatan_id'=>'18','nama'=>'banjarsari','kodepos'=>'42353'],
163;18;cikareo;42353;;['id'=>'163','kecamatan_id'=>'18','nama'=>'cikareo','kodepos'=>'42353'],
164;18;cileles;42353;;['id'=>'164','kecamatan_id'=>'18','nama'=>'cileles','kodepos'=>'42353'],
165;18;cipadang;42353;;['id'=>'165','kecamatan_id'=>'18','nama'=>'cipadang','kodepos'=>'42353'],
166;18;daroyon;42353;;['id'=>'166','kecamatan_id'=>'18','nama'=>'daroyon','kodepos'=>'42353'],
167;18;gumuruh;42353;;['id'=>'167','kecamatan_id'=>'18','nama'=>'gumuruh','kodepos'=>'42353'],
168;18;kujangsari;42353;;['id'=>'168','kecamatan_id'=>'18','nama'=>'kujangsari','kodepos'=>'42353'],
169;18;margamulya;42353;;['id'=>'169','kecamatan_id'=>'18','nama'=>'margamulya','kodepos'=>'42353'],
170;18;mekarjaya;42353;;['id'=>'170','kecamatan_id'=>'18','nama'=>'mekarjaya','kodepos'=>'42353'],
171;18;parungkujang;42353;;['id'=>'171','kecamatan_id'=>'18','nama'=>'parungkujang','kodepos'=>'42353'],
172;18;pasindangan;42353;;['id'=>'172','kecamatan_id'=>'18','nama'=>'pasindangan','kodepos'=>'42353'],
173;18;prabugantungan;42353;;['id'=>'173','kecamatan_id'=>'18','nama'=>'prabugantungan','kodepos'=>'42353'],
174;19;cibareno;42398;;['id'=>'174','kecamatan_id'=>'19','nama'=>'cibareno','kodepos'=>'42398'],
